노선번호,총운행횟수,첫차,막차,구분
162,114,400,2250,3
4211,84,355,2300,3
463,94,400,2215,3
406,78,420,2350,3
420,145,410,2310,3
4412,88,430,2250,3
4432,130,400,2320,3
4435,72,420,2330,3
472,132,410,2320,3
1213,51,440,2240,3
171,120,400,2300,3
1711,134,430,2300,3
6514,86,400,2200,3
6617,68,500,2330,3
6620,63,530,2330,3
6657,53,500,2300,3
N62양천,4,2340,110,3
3012,36,400,2230,3
302,84,400,2245,3
303,132,400,2220,3
3425,64,400,2230,3
9401,138,430,2300,3
9403,76,500,2400,3
101,84,400,2300,3
1115,18,530,0,3
1165,108,430,2330,3
121,102,400,2230,3
151,120,400,2250,3
152,124,400,2220,3
153,128,400,2220,3
N15우이,4,2400,130,3
700,88,430,20,3
707,75,430,20,3
771,45,430,2350,3
7728,71,400,2200,3
2016,19,400,2215,3
2227,68,450,2320,3
260,101,355,2240,3
262,20,400,2215,3
273,113,410,2230,3
N26중랑,4,0,130,3
505,77,410,2230,3
5413,113,420,2310,3
5525,48,450,2320,3
5537,77,430,2330,3
5617,126,450,2350,3
5619,94,430,2330,3
5620,107,430,2310,3
5621,138,520,2350,3
5627,64,430,2330,3
5633,71,420,2250,3
6637,139,430,2310,3
N65시흥,4,0,120,3
17,98,515,2330,3
674,24,420,2300,3
7017,87,430,2300,3
7021,92,430,2300,3
7730,104,430,2300,3
2113,100,530,2330,3
2114,85,530,2330,3
2234,70,530,2330,3
2235,78,530,2330,3
5522A,95,500,2330,3
5522B,45,500,2330,3
5523,113,430,2320,3
5615,98,410,2300,3
5618,80,330,2210,3
6512,78,350,2230,3
670,45,400,2300,3
503,66,415,2230,3
5534,60,415,2300,3
5630,60,415,2300,3
5714,136,415,2220,3
2,55,700,2330,3
3,48,700,2330,3
5,52,730,2330,3
2112,66,430,2240,3
2211,140,440,2325,3
2230,70,420,2245,3
2233,60,430,2240,3
2311,76,400,2215,3
2312A,36,430,2250,3
262,84,400,2215,3
272,164,415,2230,3
400,59,415,2225,3
405,70,410,2240,3
421,114,400,2210,3
1165,27,430,2330,3
130,149,420,2250,3
144,130,430,2250,3
102,14,400,2310,3
103,109,430,2300,3
1129,57,500,2330,3
1130,110,500,10,3
1133,75,500,2340,3
1137,112,430,2310,3
1140,39,500,0,3
1143,18,500,2330,3
1224,39,430,2330,3
146,40,405,2320,3
173,83,400,2250,3
N61상계,5,2340,410,3
1122,132,400,10,3
2012,66,400,2240,3
2115,44,400,2240,3
261,115,350,2230,3
7018,81,430,2300,3
721,128,420,2240,3
7719,45,420,2300,3
150,94,400,2210,3
160,102,400,2220,3
500,53,400,2300,3
507,77,400,2300,3
600,105,400,2330,3
670,25,400,2300,3
N16도봉,4,10,130,3
301,128,400,2230,3
3011,45,420,2250,3
3426,78,420,2300,3
401,69,400,2230,3
3212,61,430,2330,3
3318,32,430,2310,3
3321,54,430,2340,3
340,138,430,2310,3
3411,87,430,2320,3
3412,69,350,2220,3
3413,86,420,2300,3
342,77,400,2250,3
N30,8,2320,340,3
705,57,350,2320,3
7211,42,410,2300,3
761,72,400,2320,3
7722,68,430,2350,3
7723,105,440,0,3
7734,58,400,2300,3
774,81,345,2320,3
9703,55,500,2300,3
9709,36,450,50,3
9711A,60,500,2330,3
104,152,355,2330,3
1119,150,440,2335,3
1126,140,430,2350,3
7022,100,430,2310,3
7025,81,430,2320,3
702A,136,400,2300,3
702B,80,405,2250,3
7212,76,400,2150,3
751,112,400,2230,3
752,110,415,2220,3
753,93,410,2220,3
7613,66,430,2300,3
7715,106,430,2330,3
7720,88,430,2310,3
8774,36,500,2120,3
9701,68,500,2350,3
9707,122,500,100,3
1111,85,420,2320,3
1162,76,500,2340,3
1164,180,500,2340,3
2115,66,400,2240,3
6513,96,430,2230,3
6613,56,430,2250,3
6614,63,430,2240,3
6616,56,430,2310,3
6638,72,430,2300,3
6640A,88,430,2310,3
6640B,88,430,2310,3
6716,85,430,2220,3
3214,90,440,2320,3
3314,121,450,2330,3
3315,180,440,2330,3
3316,108,450,2330,3
3317,143,430,2330,3
3318,25,430,2310,3
3321,18,430,2340,3
3416,80,440,2330,3
370,30,400,2250,3
604,79,400,2300,3
606,63,430,2300,3
652,95,400,2300,3
653,27,430,2320,3
661,55,500,2330,3
673,72,430,2300,3
674,40,420,2300,3
5012,75,430,2240,3
5528,83,430,2250,3
571,84,430,2240,3
740,100,400,2240,3
750A,69,400,2310,3
7711,68,430,2400,3
7726,60,500,2400,3
7727,88,430,2300,3
8777,18,1000,2000,3
2221,103,430,2315,3
2222,89,430,2330,3
2415,113,430,2320,3
3216,86,430,2250,3
3220,66,430,2245,3
3414,81,430,2300,3
1127,77,500,2310,3
1128,83,430,2250,3
141,116,400,2240,3
142,113,400,2245,3
5625,102,400,2240,3
5626,85,405,2230,3
5713,90,400,2220,3
109,74,427,2320,3
1166,48,445,2330,3
120,149,425,2310,3
650,84,400,2300,3
653,27,430,2320,3
662,84,400,2310,3
6628,142,420,2330,3
6630,54,420,2250,3
5524,115,400,2230,3
602,111,420,2250,3
6516,55,400,2200,3
6623,72,410,2300,3
6627,60,430,2310,3
6649,69,550,2350,3
6654,78,500,2330,3
6714,56,430,2300,3
N16온수,4,20,140,3
4319,16,420,2300,3
441,98,420,2220,3
502,91,510,10,3
540,108,510,30,3
541,66,440,0,3
5530,105,440,2250,3
4212,150,400,2300,3
4318방배,65,430,2230,3
4318풍납,65,420,2230,3
4319,96,420,2300,3
N15사당,4,2400,130,3
7024,60,530,2310,3
7737,84,505,2310,3
7738,93,500,2320,3
7739,56,500,2320,3
7011,78,430,2310,3
7013A,35,430,2306,3
7013B,35,448,2310,3
7016,86,430,2230,3
750B,66,400,2310,3
4433,110,540,2320,3
6642,79,440,2230,3
6645,75,440,2230,3
6647,106,500,2300,3
704,78,400,2230,3
720,115,400,2310,3
7211,93,410,2300,3
773,52,430,30,3
8772,55,800,1800,3
9714,22,500,100,3
N37진관,4,0,115,3
603,84,430,2310,3
6211,92,420,2240,3
640,78,420,2250,3
641,108,410,2240,3
6624,103,500,2340,3
6625,63,430,2300,3
6715,104,440,2330,3
1132,143,430,2350,3
1135,96,430,2340,3
1136,90,500,0,3
1222,99,400,2310,3
147,120,400,2240,3
3011,23,420,2250,3
3319,55,430,2330,3
3417,116,430,2330,3
3422,46,430,2220,3
402,106,400,2230,3
461,89,400,2210,3
1155,95,430,2300,3
1156,72,440,2320,3
202,113,400,2200,3
2014,80,430,2340,3
2224,84,430,2340,3
2412,72,410,2250,3
2413,70,410,2310,3
362,88,400,2230,3
6411,82,400,2240,3
6511,72,410,2310,3
6611,63,500,0,3
140,108,400,2250,3
360,132,400,2250,3
471,120,400,2250,3
701,84,400,2300,3
N13송파,4,0,120,3
N37송파,4,0,115,3
501,104,430,2230,3
506,72,430,2230,3
5511,101,530,2330,3
5513,102,530,2330,3
5515,112,530,2330,3
5516,104,500,2300,3
5517,78,430,2230,3
5522B,30,500,2330,3
5616,60,420,2220,3
5712,100,430,2230,3
3012,16,400,2230,3
3217,85,430,2315,3
3313,112,440,2340,3
3322,91,400,2320,3
350,79,400,2230,3
100,97,400,2240,3
1017,67,430,2320,3
1120,53,500,2340,3
1140,13,500,0,3
1143,9,500,2330,3
1144,76,430,2300,3
1154,81,430,2320,3
1227,81,430,2320,3
172,106,400,2300,3
101,24,400,2300,3
1111,60,420,2320,3
1115,54,530,0,3
1124,105,500,2400,3
1218,105,410,2250,3
145,138,400,2240,3
148,138,400,2240,3
504,141,355,2240,3
5535,77,430,2310,3
5536,98,430,2320,3
6635,70,430,2350,3
7019,96,430,2255,3
7611,72,410,2240,3
7612,126,433,2340,3
7713,56,500,2330,3
102,84,400,2310,3
105,90,400,2240,3
1131,39,500,2350,3
1138,55,430,2340,3
1139,87,430,2340,3
1141,39,500,2350,3
1142,176,500,0,3
1143,36,500,2330,3
1221,54,430,2330,3
1224,65,430,2330,3
1226,12,430,2240,3
146,92,405,2320,3
N13상계,4,0,325,3
