노선번호,총운행횟수,첫차,막차,구분
7017,108,0430,2300,2
7021,115,0430,2300,2
7730,111,0430,2300,2
2113,120,0530,2330,2
2114,102,0530,2330,2
2234,84,0530,2330,2
2235,91,0530,2330,2
5522A,105,0500,2330,2
5522B,60,0500,2330,2
5523,113,0430,2320,2
5615,106,0410,2300,2
5618,89,0330,2210,2
6512,94,0350,2230,2
670,57,0400,2300,2
8552,0,0000,0000,2
503,70,0415,2230,2
5534,72,0415,2300,2
5630,62,0415,2300,2
5714,146,0415,2220,2
02,66,0700,2330,2
03,60,0700,2330,2
05,65,0730,2330,2
2112,78,0430,2240,2
2211,160,0440,2325,2
2227,0,0450,2320,2
2230,91,0420,2245,2
2233,73,0430,2240,2
2311,80,0400,2215,2
2312A,36,0430,2250,2
262,88,0400,2215,2
272,178,0415,2230,2
8221,0,0000,0000,2
400,81,0415,2225,2
405,83,0410,2240,2
421,125,0400,2210,2
1165,27,0430,2330,2
130,167,0420,2250,2
144,150,0430,2250,2
102,14,0400,2310,2
103,136,0430,2300,2
1129,57,0500,2330,2
1130,110,0500,0010,2
1133,90,0500,2340,2
1137,128,0430,2310,2
1140,39,0500,0000,2
1143,18,0500,2330,2
1224,52,0430,2330,2
146,40,0405,2320,2
173,101,0400,2250,2
N61상계,5,2340,0410,2
1122,137,0400,0010,2
2012,88,0400,2240,2
2115,44,0400,2240,2
261,116,0350,2230,2
7018,110,0430,2300,2
721,138,0420,2240,2
7719,45,0420,2300,2
8761,0,0000,0000,2
150,133,0400,2210,2
160,129,0400,2220,2
500,67,0400,2300,2
507,101,0400,2300,2
600,123,0400,2330,2
670,27,0400,2300,2
N16도봉,4,0010,0130,2
301,141,0400,2230,2
3011,50,0420,2250,2
3426,97,0420,2300,2
401,86,0400,2230,2
3212,71,0430,2330,2
3318,42,0430,2310,2
3321,54,0430,2340,2
340,149,0430,2310,2
3411,99,0430,2320,2
3412,77,0350,2220,2
3413,107,0420,2300,2
342,87,0400,2250,2
N30,8,2320,0340,2
705,61,0350,2320,2
7211,42,0410,2300,2
761,81,0400,2320,2
7722,74,0430,2350,2
7723,105,0440,0000,2
7734,64,0400,2300,2
774,91,0345,2320,2
9703,60,0500,2300,2
9709,50,0450,0050,2
9711A,60,0500,2330,2
104,176,0355,2330,2
1119,175,0440,2335,2
1126,150,0430,2350,2
7022,116,0430,2310,2
7025,90,0430,2320,2
702A,148,0400,2300,2
702B,88,0405,2250,2
7212,92,0400,2150,2
751,110,0400,2230,2
752,110,0415,2220,2
753,75,0410,2220,2
7613,75,0430,2300,2
7715,111,0430,2330,2
7720,108,0430,2310,2
8771,0,0000,0000,2
8774,36,0500,2120,2
9701,77,0500,2350,2
9707,134,0500,0100,2
1111,80,0420,2320,2
1162,72,0500,2340,2
1164,180,0500,2340,2
2115,72,0400,2240,2
6513,99,0430,2230,2
6613,63,0430,2250,2
6614,70,0430,2240,2
6616,88,0430,2310,2
6638,72,0430,2300,2
6640A,88,0430,2310,2
6640B,88,0430,2310,2
6716,90,0430,2220,2
3214,90,0440,2320,2
3314,149,0450,2330,2
3315,189,0440,2330,2
3316,108,0450,2330,2
3317,143,0430,2330,2
3318,35,0430,2310,2
3321,18,0430,2340,2
3416,90,0440,2330,2
370,35,0400,2250,2
604,92,0400,2300,2
606,71,0400,2300,2
652,108,0400,2300,2
653,32,0430,2320,2
661,54,0430,2330,2
673,65,0430,2300,2
674,44,0420,2300,2
5012,83,0430,2240,2
5528,113,0430,2250,2
571,92,0430,2240,2
740,113,0400,2240,2
750A,73,0400,2310,2
7711,68,0430,2400,2
7726,60,0500,2400,2
7727,103,0430,2300,2
8761,0,0000,0000,2
8777,18,1000,2000,2
2221,134,0430,2315,2
2222,95,0430,2330,2
2415,125,0430,2320,2
3216,96,0430,2250,2
3220,88,0430,2245,2
3414,95,0430,2300,2
8331,0,0000,0000,2
1127,88,0500,2310,2
1128,83,0430,2250,2
141,138,0400,2240,2
142,134,0400,2245,2
5625,108,0400,2240,2
5626,105,0405,2230,2
5713,90,0400,2220,2
109,101,0427,2320,2
1166,54,0445,2330,2
120,162,0425,2310,2
650,101,0400,2300,2
653,32,0430,2320,2
662,88,0400,2310,2
6628,169,0420,2330,2
6630,55,0420,2250,2
5524,125,0400,2230,2
602,126,0420,2250,2
6516,61,0400,2200,2
6623,83,0410,2300,2
6627,64,0430,2310,2
6649,69,0550,2350,2
6654,78,0500,2330,2
6714,64,0430,2300,2
N16온수,4,0020,0140,2
4319,20,0420,2300,2
441,102,0420,2220,2
502,106,0510,0010,2
540,124,0510,0030,2
541,72,0440,0000,2
5530,115,0440,2250,2
4212,162,0400,2300,2
4318방배,80,0430,2230,2
4318풍납,65,0420,2230,2
4319,90,0420,2300,2
N15사당,4,2400,0130,2
7024,60,0530,2310,2
7737,88,0505,2310,2
7738,110,0500,2320,2
7739,67,0500,2320,2
7011,102,0430,2310,2
7013A,39,0430,2307,2
7013B,39,0446,2310,2
7016,115,0430,2230,2
750B,78,0400,2310,2
8761,0,0000,0000,2
4433,105,0540,2320,2
6642,79,0440,2230,2
6645,79,0440,2230,2
6647,106,0500,2300,2
704,86,0400,2230,2
720,138,0400,2310,2
7211,107,0410,2300,2
773,58,0430,0030,2
8772,44,0800,1800,2
9714,22,0500,0100,2
N37진관,4,0000,0115,2
603,96,0430,2310,2
6211,97,0420,2240,2
640,91,0420,2250,2
641,130,0410,2240,2
6624,118,0500,2340,2
6625,73,0430,2300,2
6715,111,0440,2330,2
1132,154,0430,2350,2
1135,96,0430,2340,2
1136,90,0500,0000,2
1222,99,0400,2310,2
147,150,0400,2240,2
3011,33,0420,2250,2
3319,64,0430,2330,2
3417,144,0430,2330,2
3422,61,0430,2220,2
402,120,0400,2230,2
461,93,0400,2210,2
8331,0,0000,0000,2
8441,0,0000,0000,2
1155,95,0430,2300,2
1156,72,0440,2320,2
202,133,0400,2200,2
2014,96,0430,2340,2
2224,108,0430,2340,2
2412,88,0410,2250,2
2413,83,0410,2310,2
362,108,0400,2230,2
6411,98,0400,2240,2
6511,72,0410,2310,2
6611,63,0500,0000,2
140,132,0400,2250,2
360,148,0400,2250,2
471,148,0400,2250,2
701,102,0400,2300,2
N13송파,4,0000,0120,2
N37송파,4,0000,0115,2
501,120,0430,2230,2
506,88,0430,2230,2
5511,123,0530,2330,2
5513,117,0530,2330,2
5515,112,0530,2330,2
5516,110,0500,2300,2
5517,78,0430,2230,2
5522B,30,0500,2330,2
5616,80,0420,2220,2
5712,120,0430,2230,2
8551,0,0000,0000,2
3012,20,0400,2230,2
